ID|Mesa|Mesero|Platillo|Cantidad|PrecioUnitario|Total|Hora
001|2|Torres|Tacos|3|25|75|15:05
002|5|Jahaziel|Enchiladas|3|90|270|18:27
003|3|Jahaziel|Tacos|3|25|75|18:17
004|15|Jahaziel|Enchiladas|3|90|270|11:02
005|10|Torres|Enchiladas|1|90|90|10:56
006|6|Zenqu|Gordas|3|30|90|20:01
007|10|Torres|Enchiladas|4|90|360|12:24
008|4|Zenqu|Gordas|3|30|90|15:45
009|15|Jahaziel|Gordas|5|30|150|09:22
010|3|Alex|Tacos|1|25|25|19:02
011|7|Alex|Quesadillas|2|35|70|15:09
012|2|Torres|Quesadillas|3|35|105|11:32
013|6|Alex|Quesadillas|2|35|70|20:06
014|13|Jahaziel|Enchiladas|2|90|180|19:38
015|2|Jahaziel|Tamales|1|20|20|15:55
016|8|Jahaziel|Enchiladas|4|90|360|09:12
017|8|Alex|Tamales|4|20|80|09:07
018|13|Jahaziel|Gordas|3|30|90|17:36
019|10|Jahaziel|Quesadillas|1|35|35|12:20
020|15|Alex|Quesadillas|4|35|140|17:27
021|9|Alex|Tacos|4|25|100|12:33
022|14|Jahaziel|Tamales|5|20|100|10:55
023|4|Jahaziel|Tamales|2|20|40|20:59
024|11|Jahaziel|Tacos|4|25|100|13:32
025|13|Torres|Tacos|5|25|125|11:55
026|12|Alex|Tamales|1|20|20|17:25
027|13|Torres|Tamales|1|20|20|17:38
028|14|Alex|Quesadillas|2|35|70|18:20
029|15|Alex|Tamales|4|20|80|19:06
030|10|Alex|Quesadillas|4|35|140|15:43
031|2|Torres|Tacos|2|25|50|17:34
032|15|Jahaziel|Enchiladas|3|90|270|20:34
033|3|Torres|Tamales|1|20|20|10:08
034|4|Alex|Gordas|2|30|60|14:41
035|13|Alex|Gordas|2|30|60|19:01
036|3|Jahaziel|Tamales|3|20|60|19:07
037|14|Jahaziel|Gordas|4|30|120|14:21
038|10|Jahaziel|Quesadillas|2|35|70|13:20
039|14|Torres|Tamales|5|20|100|13:16
040|14|Jahaziel|Tacos|4|25|100|13:00
041|7|Zenqu|Tamales|3|20|60|09:51
042|11|Jahaziel|Tamales|5|20|100|14:23
043|12|Zenqu|Gordas|2|30|60|16:56
044|14|Zenqu|Tacos|4|25|100|14:24
045|1|Jahaziel|Quesadillas|2|35|70|12:58
046|10|Torres|Tamales|1|20|20|17:23
047|11|Zenqu|Tamales|4|20|80|21:52
048|4|Zenqu|Tacos|4|25|100|21:31
049|10|Jahaziel|Quesadillas|4|35|140|11:40
050|3|Jahaziel|Tacos|4|25|100|21:14
051|2|Jahaziel|Enchiladas|3|90|270|17:55
052|13|Jahaziel|Tamales|1|20|20|18:54
053|10|Torres|Gordas|5|30|150|10:17
054|10|Jahaziel|Tacos|4|25|100|08:35
055|15|Jahaziel|Gordas|5|30|150|12:15
056|7|Jahaziel|Enchiladas|1|90|90|19:19
057|7|Torres|Quesadillas|2|35|70|09:22
058|10|Alex|Tacos|3|25|75|11:30
059|14|Torres|Tamales|2|20|40|20:39
060|10|Torres|Enchiladas|3|90|270|10:26
061|2|Zenqu|Tacos|3|25|75|18:35
062|8|Jahaziel|Gordas|4|30|120|13:51
063|12|Torres|Quesadillas|4|35|140|08:24
064|6|Zenqu|Quesadillas|1|35|35|14:46
